Time	Amp	Volt	AH	Temp_1	
1	0	1.84	0	32.5	
11	12.5	1.93	0	32.5	
21	12.5	1.94	0	32.5	
31	12.5	1.95	0.1	32.5	
41	12.5	1.97	0.1	32.5	
51	12.5	1.98	0.1	32.5	
61	12.5	1.99	0.2	32.5	
71	12.5	1.99	0.2	32.5	
81	12.5	1.99	0.2	32.5	
91	12.5	1.99	0.3	32.5	
101	12.5	1.99	0.3	32.5	
111	12.5	2	0.3	32.5	
121	12.5	2	0.4	32.5	
131	12.5	2	0.4	32.5	
141	12.5	2	0.4	32.5	
151	12.5	2.01	0.5	32.5	
161	12.5	2.01	0.5	32.5	
171	12.5	2.01	0.5	32.5	
181	12.5	2.02	0.6	32.5	
191	12.5	2.02	0.6	32.5	
201	12.5	2.02	0.6	32.5	
211	12.5	2.02	0.7	32.5	
221	12.5	2.03	0.7	32.5	
231	12.5	2.03	0.7	32.5	
241	12.5	2.03	0.8	32.5	
251	12.5	2.04	0.8	32.5	
261	12.5	2.04	0.9	32.5	
271	12.5	2.04	0.9	32.5	
281	12.5	2.04	0.9	32.5	
291	12.5	2.04	1	32.5	
301	12.5	2.05	1	32.5	
311	12.5	2.05	1	32.5	
321	12.5	2.05	1.1	32.5	
331	12.5	2.05	1.1	32.5	
341	12.5	2.05	1.1	32.5	
351	12.5	2.06	1.2	32.5	
361	12.5	2.06	1.2	32.5	
371	12.5	2.06	1.2	32.5	
381	12.5	2.06	1.3	32.5	
391	12.5	2.06	1.3	32.5	
401	12.5	2.06	1.3	32.5	
411	12.5	2.06	1.4	32.5	
421	12.5	2.07	1.4	32.5	
431	12.5	2.07	1.4	32.5	
441	12.5	2.07	1.5	32.5	
451	12.5	2.08	1.5	32.5	
461	12.5	2.08	1.5	32.5	
471	12.5	2.08	1.6	32.5	
481	12.5	2.08	1.6	32.5	
491	12.5	2.08	1.7	32.5	
501	12.5	2.08	1.7	32.5	
511	12.5	2.08	1.7	32.5	
521	12.5	2.08	1.8	32.5	
531	12.5	2.08	1.8	32.5	
541	12.5	2.08	1.8	32	
551	12.5	2.09	1.9	32.5	
561	12.5	2.09	1.9	32.5	
571	12.5	2.09	1.9	32.5	
581	12.5	2.09	2	32.5	
591	12.5	2.09	2	32.5	
601	12.5	2.09	2	32.5	
611	12.5	2.09	2.1	32.5	
621	12.5	2.09	2.1	32.5	
624.2	12.5	2.1	2.1	32.5	
625.2	0	2.02	2.1	32.5	
626.2	0	2.01	2.1	32.5	
627.2	0	2.01	2.1	32.5	
628.2	0	2.01	2.1	32.5	
629.2	0	2.01	2.1	32.5	
630.2	0	2	2.1	32.5	
631.2	0	2	2.1	32.5	
632.2	0	2	2.1	32.5	
633.2	0	2	2.1	32.5	
634.2	0	2	2.1	32.5	
635.2	0	2	2.1	32.5	
636.2	0	2	2.1	32.5	
637.2	0	2	2.1	32.5	
638.2	0	2	2.1	32.5	
639.2	0	2	2.1	32.5	
640.2	0	2	2.1	32.5	
641.2	0	2	2.1	32.5	
642.2	0	1.99	2.1	32.5	
643.2	0	2	2.1	32.5	
644.2	0	2	2.1	32.5	
645.2	0	1.99	2.1	32.5	
646.2	0	1.99	2.1	32.5	
647.2	0	1.99	2.1	32.5	
648.2	0	1.99	2.1	32.5	
649.2	0	1.99	2.1	32.5	
650.2	0	1.99	2.1	32.5	
651.2	0	1.99	2.1	32.5	
652.2	0	1.99	2.1	32.5	
653.2	0	1.99	2.1	32.5	
654.2	0	1.99	2.1	32.5	
655.2	0	1.99	2.1	32.5	
656.2	0	1.99	2.1	32.5	
657.2	0	1.99	2.1	32.5	
658.2	0	1.99	2.1	32.5	
659.2	0	1.99	2.1	32.5	
660.2	0	1.98	2.1	32.5	
661.2	0	1.99	2.1	32.5	
662.2	0	1.99	2.1	32.5	
663.2	0	1.99	2.1	32.5	
664.2	0	1.98	2.1	32.5	
665.2	0	1.99	2.1	32.5	
666.2	0	1.99	2.1	32.5	
667.2	0	1.98	2.1	32.5	
668.2	0	1.98	2.1	32.5	
669.2	0	1.98	2.1	32.5	
670.2	0	1.98	2.1	32.5	
671.2	0	1.98	2.1	32.5	
672.2	0	1.98	2.1	32.5	
673.2	0	1.98	2.1	32.5	
674.2	0	1.98	2.1	32.5	
675.2	0	1.98	2.1	32.5	
676.2	0	1.98	2.1	32.5	
677.2	0	1.98	2.1	32.5	
678.2	0	1.98	2.1	32.5	
679.2	0	1.98	2.1	32.5	
680.2	0	1.98	2.1	32.5	
681.2	0	1.98	2.1	32.5	
682.2	0	1.98	2.1	32.5	
683.2	0	1.98	2.1	32.5	
684.2	0	1.98	2.1	32.5	
685.2	0	1.98	2.1	32.5	
686.2	0	1.98	2.1	32.5	
687.2	0	1.98	2.1	32.5	
688.2	0	1.98	2.1	32.5	
689.2	0	1.98	2.1	32.5	
690.2	0	1.98	2.1	32.5	
691.2	0	1.98	2.1	32.5	
692.2	0	1.98	2.1	32.5	
693.2	0	1.98	2.1	32.5	
694.2	0	1.97	2.1	32.5	
695.2	0	1.98	2.1	32.5	
696.2	0	1.98	2.1	32.5	
697.2	0	1.97	2.1	32.5	
698.2	0	1.98	2.1	32.5	
699.2	0	1.97	2.1	32.5	
700.2	0	1.97	2.1	32.5	
701.2	0	1.97	2.1	32.5	
702.2	0	1.97	2.1	32.5	
703.2	0	1.97	2.1	32.5	
704.2	0	1.97	2.1	32.5	
705.2	0	1.97	2.1	32.5	
706.2	0	1.97	2.1	32.5	
707.2	0	1.97	2.1	32.5	
708.2	0	1.97	2.1	32.5	
709.2	0	1.97	2.1	32.5	
710.2	0	1.97	2.1	32.5	
711.2	0	1.97	2.1	32.5	
712.2	0	1.97	2.1	32.5	
713.2	0	1.97	2.1	32.5	
714.2	0	1.97	2.1	32.5	
715.2	0	1.97	2.1	32.5	
716.2	0	1.97	2.1	32.5	
717.2	0	1.97	2.1	32	
718.2	0	1.97	2.1	32.5	
719.2	0	1.97	2.1	32.5	
720.2	0	1.97	2.1	32.5	
721.2	0	1.97	2.1	32.5	
722.2	0	1.97	2.1	32.5	
723.2	0	1.97	2.1	32.5	
724.2	0	1.97	2.1	32.5	
725.2	0	1.97	2.1	32.5	
726.2	0	1.97	2.1	32.5	
727.2	0	1.97	2.1	32.5	
728.2	0	1.97	2.1	32.5	
729.2	0	1.97	2.1	32.5	
730.2	0	1.97	2.1	32.5	
731.2	0	1.97	2.1	32.5	
732.2	0	1.97	2.1	32.5	
733.2	0	1.97	2.1	32.5	
734.2	0	1.97	2.1	32.5	
735.2	0	1.97	2.1	32.5	
736.2	0	1.97	2.1	32.5	
737.2	0	1.97	2.1	32.5	
738.2	0	1.97	2.1	32.5	
739.2	0	1.97	2.1	32.5	
740.2	0	1.97	2.1	32.5	
741.2	0	1.97	2.1	32.5	
742.2	0	1.97	2.1	32.5	
743.2	0	1.97	2.1	32.5	
744.2	0	1.97	2.1	32.5	
745.2	0	1.97	2.1	32.5	
746.2	0	1.97	2.1	32.5	
747.2	0	1.97	2.1	32.5	
748.2	0	1.97	2.1	32.5	
749.2	0	1.96	2.1	32.5	
750.2	0	1.96	2.1	32.5	
751.2	0	1.96	2.1	32.5	
752.2	0	1.97	2.1	32.5	
753.2	0	1.97	2.1	32.5	
754.2	0	1.97	2.1	32.5	
755.2	0	1.96	2.1	32.5	
756.2	0	1.96	2.1	32.5	
757.2	0	1.96	2.1	32.5	
758.2	0	1.97	2.1	32.5	
759.2	0	1.96	2.1	32.5	
760.2	0	1.96	2.1	32.5	
761.2	0	1.97	2.1	32.5	
762.2	0	1.96	2.1	32.5	
763.2	0	1.96	2.1	32.5	
764.2	0	1.96	2.1	32.5	
765.2	0	1.96	2.1	32.5	
766.2	0	1.96	2.1	32.5	
767.2	0	1.96	2.1	32.5	
768.2	0	1.96	2.1	32.5	
769.2	0	1.96	2.1	32.5	
770.2	0	1.96	2.1	32.5	
771.2	0	1.96	2.1	32.5	
772.2	0	1.96	2.1	32.5	
773.2	0	1.96	2.1	32.5	
774.2	0	1.96	2.1	32.5	
775.2	0	1.96	2.1	32.5	
776.2	0	1.96	2.1	32.5	
777.2	0	1.96	2.1	32.5	
778.2	0	1.96	2.1	32.5	
779.2	0	1.96	2.1	32.5	
780.2	0	1.96	2.1	32.5	
781.2	0	1.96	2.1	32.5	
782.2	0	1.96	2.1	32.5	
783.2	0	1.96	2.1	32.5	
784.2	0	1.96	2.1	32.5	
785.2	0	1.96	2.1	32.5	
786.2	0	1.96	2.1	32.5	
787.2	0	1.96	2.1	32.5	
788.2	0	1.96	2.1	32.5	
789.2	0	1.96	2.1	32.5	
790.2	0	1.96	2.1	32	
791.2	0	1.96	2.1	32.5	
792.2	0	1.96	2.1	32.5	
793.2	0	1.96	2.1	32.5	
794.2	0	1.96	2.1	32.5	
795.2	0	1.96	2.1	32	
796.2	0	1.96	2.1	32.5	
797.2	0	1.96	2.1	32.5	
798.2	0	1.96	2.1	32.5	
799.2	0	1.96	2.1	32.5	
800.2	0	1.96	2.1	32.5	
801.2	0	1.96	2.1	32.5	
802.2	0	1.96	2.1	32.5	
803.2	0	1.96	2.1	32.5	
804.2	0	1.96	2.1	32.5	
805.2	0	1.96	2.1	32.5	
806.2	0	1.96	2.1	32.5	
807.2	0	1.96	2.1	32.5	
808.2	0	1.96	2.1	32.5	
809.2	0	1.96	2.1	32	
810.2	0	1.96	2.1	32.5	
811.2	0	1.96	2.1	32.5	
812.2	0	1.96	2.1	32.5	
813.2	0	1.96	2.1	32.5	
814.2	0	1.96	2.1	32.5	
815.2	0	1.96	2.1	32.5	
816.2	0	1.96	2.1	32.5	
817.2	0	1.96	2.1	32.5	
818.2	0	1.96	2.1	32	
819.2	0	1.96	2.1	32	
820.2	0	1.96	2.1	32.5	
821.2	0	1.95	2.1	32.5	
822.2	0	1.96	2.1	32.5	
823.2	0	1.96	2.1	32.5	
824.2	0	1.96	2.1	32.5	
825.2	0	1.96	2.1	32.5	
826.2	0	1.96	2.1	32.5	
827.2	0	1.96	2.1	32.5	
828.2	0	1.96	2.1	32	
829.2	0	1.96	2.1	32.5	
830.2	0	1.96	2.1	32.5	
