Time	Amp	Volt	AH	Temp_1	
1	0	1.837	0	25.5	
11	12.5	1.92	0	25.5	
21	12.5	1.932	0	25.5	
31	12.5	1.948	0.1	25.5	
41	12.5	1.973	0.1	25.5	
51	12.5	2.003	0.1	25.5	
61	12.5	2.012	0.2	25.5	
71	12.5	2.01	0.2	25.5	
81	12.5	2.007	0.2	25.5	
91	12.5	2.007	0.3	25.5	
101	12.5	2.007	0.3	25.5	
111	12.5	2.009	0.3	25.5	
121	12.5	2.011	0.4	25.5	
131	12.5	2.013	0.4	25.5	
141	12.5	2.016	0.4	25.5	
151	12.5	2.018	0.5	25.5	
161	12.5	2.022	0.5	25.5	
171	12.5	2.025	0.5	25.5	
181	12.5	2.028	0.6	25.5	
191	12.5	2.031	0.6	24.5	
201	12.5	2.035	0.6	25.5	
211	12.5	2.038	0.7	25.5	
221	12.5	2.042	0.7	25.5	
231	12.5	2.045	0.7	25.5	
241	12.5	2.048	0.8	25.5	
251	12.5	2.052	0.8	25.5	
261	12.5	2.055	0.9	25.5	
271	12.5	2.059	0.9	25.5	
281	12.5	2.062	0.9	25.5	
291	12.5	2.065	1	25.5	
301	12.5	2.068	1	25.5	
311	12.5	2.071	1	24.5	
321	12.5	2.074	1.1	25.5	
331	12.5	2.077	1.1	25.5	
341	12.5	2.08	1.1	25.5	
351	12.5	2.082	1.2	25.5	
361	12.5	2.085	1.2	25.5	
371	12.5	2.088	1.2	25.5	
381	12.5	2.09	1.3	25.5	
391	12.5	2.092	1.3	25.5	
401	12.5	2.094	1.3	25.5	
411	12.5	2.096	1.4	25.5	
421	12.5	2.098	1.4	25.5	
427.2	12.5	2.1	1.4	25.5	
428.2	0	2.006	1.4	25.5	
429.2	0	2.002	1.4	25.5	
430.2	0	1.999	1.4	25.5	
431.2	0	1.997	1.4	25.5	
432.2	0	1.995	1.4	25.5	
433.2	0	1.994	1.4	25.5	
434.2	0	1.993	1.4	25.5	
435.2	0	1.992	1.4	25.5	
436.2	0	1.991	1.4	25.5	
437.2	0	1.99	1.4	25.5	
438.2	0	1.989	1.4	25.5	
439.2	0	1.989	1.4	25.5	
440.2	0	1.988	1.4	25.5	
441.2	0	1.987	1.4	25.5	
442.2	0	1.987	1.4	25.5	
443.2	0	1.986	1.4	25.5	
444.2	0	1.985	1.4	25.5	
445.2	0	1.985	1.4	25.5	
446.2	0	1.984	1.4	25.5	
447.2	0	1.983	1.4	25.5	
448.2	0	1.983	1.4	25.5	
449.2	0	1.983	1.4	25.5	
450.2	0	1.982	1.4	25.5	
451.2	0	1.981	1.4	25.5	
452.2	0	1.981	1.4	25.5	
453.2	0	1.981	1.4	25.5	
454.2	0	1.98	1.4	25.5	
455.2	0	1.98	1.4	25.5	
456.2	0	1.98	1.4	25.5	
457.2	0	1.979	1.4	25.5	
458.2	0	1.979	1.4	25.5	
459.2	0	1.978	1.4	25.5	
460.2	0	1.978	1.4	25.5	
461.2	0	1.978	1.4	25.5	
462.2	0	1.977	1.4	25.5	
463.2	0	1.977	1.4	25.5	
464.2	0	1.976	1.4	25.5	
465.2	0	1.976	1.4	25.5	
466.2	0	1.976	1.4	25.5	
467.2	0	1.975	1.4	25.5	
468.2	0	1.975	1.4	25.5	
469.2	0	1.974	1.4	25.5	
470.2	0	1.974	1.4	25.5	
471.2	0	1.974	1.4	25.5	
472.2	0	1.974	1.4	25.5	
473.2	0	1.974	1.4	25.5	
474.2	0	1.973	1.4	25.5	
475.2	0	1.973	1.4	25.5	
476.2	0	1.973	1.4	25.5	
477.2	0	1.972	1.4	25.5	
478.2	0	1.972	1.4	25.5	
479.2	0	1.971	1.4	25.5	
480.2	0	1.971	1.4	25.5	
481.2	0	1.971	1.4	25.5	
482.2	0	1.971	1.4	25.5	
483.2	0	1.971	1.4	25.5	
484.2	0	1.97	1.4	25.5	
485.2	0	1.97	1.4	25.5	
486.2	0	1.97	1.4	25.5	
487.2	0	1.97	1.4	25.5	
488.2	0	1.969	1.4	25.5	
489.2	0	1.969	1.4	25.5	
490.2	0	1.969	1.4	25.5	
491.2	0	1.969	1.4	25.5	
492.2	0	1.969	1.4	25.5	
493.2	0	1.968	1.4	25.5	
494.2	0	1.968	1.4	25.5	
495.2	0	1.968	1.4	25.5	
496.2	0	1.967	1.4	25.5	
497.2	0	1.967	1.4	25.5	
498.2	0	1.967	1.4	25.5	
499.2	0	1.967	1.4	25.5	
500.2	0	1.967	1.4	25.5	
501.2	0	1.966	1.4	25.5	
502.2	0	1.966	1.4	25.5	
