Time	Amp	Volt	AH	Temp_1	
1	0	1.857	0	25.5	
11	12.5	1.937	0	25.5	
21	12.5	1.952	0	25.5	
31	12.5	1.969	0.1	24.5	
41	12.5	1.99	0.1	25.5	
51	12.5	2.019	0.1	25.5	
61	12.5	2.035	0.2	25.5	
71	12.5	2.036	0.2	25.5	
81	12.5	2.036	0.2	25.5	
91	12.5	2.036	0.3	25.5	
101	12.5	2.038	0.3	25.5	
111	12.5	2.041	0.3	25.5	
121	12.5	2.044	0.4	25.5	
131	12.5	2.047	0.4	25.5	
141	12.5	2.051	0.4	25.5	
151	12.5	2.055	0.5	25.5	
161	12.5	2.059	0.5	25.5	
171	12.5	2.062	0.5	25.5	
181	12.5	2.066	0.6	25.5	
191	12.5	2.07	0.6	25.5	
201	12.5	2.074	0.6	24.5	
211	12.5	2.077	0.7	25.5	
221	12.5	2.081	0.7	25.5	
231	12.5	2.084	0.7	25.5	
241	12.5	2.087	0.8	25.5	
251	12.5	2.09	0.8	25.5	
261	12.5	2.093	0.9	25.5	
271	12.5	2.096	0.9	25.5	
281	12.5	2.098	0.9	25.5	
286.1	12.5	2.1	0.9	24.5	
287.1	0	2.003	0.9	25.5	
288.1	0	1.999	0.9	25.5	
289.1	0	1.996	0.9	25.5	
290.1	0	1.994	0.9	25.5	
291.1	0	1.992	0.9	25.5	
292.1	0	1.99	0.9	25.5	
293.1	0	1.989	0.9	25.5	
294.1	0	1.988	0.9	25.5	
295.1	0	1.987	0.9	25.5	
296.1	0	1.986	0.9	25.5	
297.1	0	1.985	0.9	25.5	
298.1	0	1.985	0.9	25.5	
299.1	0	1.984	0.9	25.5	
300.1	0	1.983	0.9	25.5	
301.1	0	1.983	0.9	25.5	
302.1	0	1.982	0.9	25.5	
303.1	0	1.981	0.9	25.5	
304.1	0	1.981	0.9	25.5	
305.1	0	1.98	0.9	25.5	
306.1	0	1.979	0.9	25.5	
307.1	0	1.978	0.9	25.5	
308.1	0	1.978	0.9	25.5	
309.1	0	1.978	0.9	25.5	
310.1	0	1.977	0.9	25.5	
311.1	0	1.977	0.9	25.5	
312.1	0	1.976	0.9	25.5	
313.1	0	1.976	0.9	25.5	
314.1	0	1.975	0.9	25.5	
315.1	0	1.975	0.9	25.5	
316.1	0	1.974	0.9	25.5	
317.1	0	1.974	0.9	25.5	
318.1	0	1.974	0.9	25.5	
319.1	0	1.973	0.9	25.5	
320.1	0	1.973	0.9	25.5	
321.1	0	1.973	0.9	25.5	
