Time	Amp	Volt	AH	Temp_1	
1	0	1.844	0	25.5	
11	12.5	1.922	0	25.5	
21	12.5	1.935	0	25.5	
31	12.5	1.951	0.1	24.5	
41	12.5	1.969	0.1	25.5	
51	12.5	1.991	0.1	25.5	
61	12.5	2.009	0.2	25.5	
71	12.5	2.014	0.2	24.5	
81	12.5	2.014	0.2	24.5	
91	12.5	2.015	0.3	25.5	
101	12.5	2.016	0.3	25.5	
111	12.5	2.018	0.3	24.5	
121	12.5	2.02	0.4	25.5	
131	12.5	2.023	0.4	25.5	
141	12.5	2.026	0.4	25.5	
151	12.5	2.03	0.5	25.5	
161	12.5	2.033	0.5	25.5	
171	12.5	2.036	0.5	25.5	
181	12.5	2.04	0.6	24.5	
191	12.5	2.043	0.6	25.5	
201	12.5	2.047	0.6	25.5	
211	12.5	2.051	0.7	25.5	
221	12.5	2.055	0.7	25.5	
231	12.5	2.059	0.7	25.5	
241	12.5	2.062	0.8	25.5	
251	12.5	2.066	0.8	25.5	
261	12.5	2.069	0.9	24.5	
271	12.5	2.073	0.9	25.5	
281	12.5	2.076	0.9	24.5	
291	12.5	2.079	1	25.5	
301	12.5	2.082	1	25.5	
311	12.5	2.085	1	25.5	
321	12.5	2.088	1.1	25.5	
331	12.5	2.09	1.1	25.5	
341	12.5	2.093	1.1	24.5	
351	12.5	2.095	1.2	25.5	
361	12.5	2.098	1.2	24.5	
367.6	12.5	2.1	1.2	24.5	
368.6	0	2.008	1.2	25.5	
369.6	0	2.004	1.2	25.5	
370.6	0	2.001	1.2	25.5	
371.6	0	1.999	1.2	25.5	
372.6	0	1.997	1.2	25.5	
373.6	0	1.996	1.2	25.5	
374.6	0	1.995	1.2	25.5	
375.6	0	1.993	1.2	25.5	
376.6	0	1.992	1.2	25.5	
377.6	0	1.991	1.2	25.5	
378.6	0	1.99	1.2	25.5	
379.6	0	1.99	1.2	25.5	
380.6	0	1.989	1.2	25.5	
381.6	0	1.988	1.2	25.5	
382.6	0	1.987	1.2	25.5	
383.6	0	1.986	1.2	25.5	
384.6	0	1.986	1.2	25.5	
385.6	0	1.985	1.2	25.5	
386.6	0	1.985	1.2	25.5	
387.6	0	1.984	1.2	25.5	
388.6	0	1.984	1.2	25.5	
389.6	0	1.983	1.2	25.5	
390.6	0	1.983	1.2	25.5	
391.6	0	1.982	1.2	25.5	
392.6	0	1.982	1.2	25.5	
393.6	0	1.981	1.2	25.5	
394.6	0	1.981	1.2	25.5	
395.6	0	1.98	1.2	25.5	
396.6	0	1.98	1.2	25.5	
397.6	0	1.98	1.2	25.5	
398.6	0	1.979	1.2	25.5	
399.6	0	1.979	1.2	25.5	
400.6	0	1.978	1.2	25.5	
401.6	0	1.978	1.2	25.5	
402.6	0	1.978	1.2	25.5	
403.6	0	1.977	1.2	25.5	
404.6	0	1.977	1.2	25.5	
405.6	0	1.977	1.2	25.5	
406.6	0	1.976	1.2	25.5	
407.6	0	1.976	1.2	25.5	
408.6	0	1.976	1.2	25.5	
409.6	0	1.975	1.2	25.5	
410.6	0	1.975	1.2	25.5	
411.6	0	1.974	1.2	25.5	
412.6	0	1.974	1.2	25.5	
413.6	0	1.974	1.2	25.5	
414.6	0	1.973	1.2	25.5	
415.6	0	1.973	1.2	25.5	
416.6	0	1.973	1.2	25.5	
417.6	0	1.973	1.2	25.5	
418.6	0	1.973	1.2	25.5	
419.6	0	1.972	1.2	25.5	
420.6	0	1.972	1.2	25.5	
421.6	0	1.971	1.2	25.5	
422.6	0	1.972	1.2	25.5	
423.6	0	1.971	1.2	25.5	
424.6	0	1.971	1.2	25.5	
425.6	0	1.97	1.2	25.5	
426.6	0	1.97	1.2	25.5	
427.6	0	1.97	1.2	25.5	
428.6	0	1.97	1.2	25.5	
429.6	0	1.969	1.2	25.5	
430.6	0	1.969	1.2	25.5	
431.6	0	1.969	1.2	25.5	
432.6	0	1.969	1.2	25.5	
433.6	0	1.969	1.2	25.5	
434.6	0	1.968	1.2	25.5	
435.6	0	1.968	1.2	25.5	
436.6	0	1.968	1.2	25.5	
437.6	0	1.968	1.2	25.5	
438.6	0	1.967	1.2	25.5	
439.6	0	1.967	1.2	25.5	
440.6	0	1.967	1.2	25.5	
441.6	0	1.967	1.2	25.5	
442.6	0	1.967	1.2	25.5	
443.6	0	1.966	1.2	25.5	
444.6	0	1.966	1.2	25.5	
445.6	0	1.966	1.2	25.5	
446.6	0	1.966	1.2	25.5	
447.6	0	1.965	1.2	25.5	
448.6	0	1.965	1.2	25.5	
449.6	0	1.965	1.2	25.5	
450.6	0	1.965	1.2	25.5	
451.6	0	1.964	1.2	25.5	
452.6	0	1.964	1.2	25.5	
453.6	0	1.964	1.2	25.5	
454.6	0	1.964	1.2	25.5	
455.6	0	1.964	1.2	25.5	
456.6	0	1.964	1.2	25.5	
457.6	0	1.964	1.2	25.5	
458.6	0	1.963	1.2	25.5	
459.6	0	1.963	1.2	25.5	
460.6	0	1.963	1.2	25.5	
461.6	0	1.963	1.2	25.5	
462.6	0	1.963	1.2	25.5	
463.6	0	1.963	1.2	25.5	
464.6	0	1.962	1.2	25.5	
465.6	0	1.962	1.2	25.5	
466.6	0	1.962	1.2	25.5	
467.6	0	1.962	1.2	25.5	
468.6	0	1.961	1.2	25.5	
469.6	0	1.961	1.2	25.5	
470.6	0	1.961	1.2	25.5	
471.6	0	1.961	1.2	25.5	
472.6	0	1.961	1.2	25.5	
473.6	0	1.961	1.2	25.5	
474.6	0	1.96	1.2	25.5	
475.6	0	1.96	1.2	25.5	
476.6	0	1.96	1.2	25.5	
477.6	0	1.96	1.2	25.5	
478.6	0	1.96	1.2	25.5	
