Time	Amp	Volt	AH	Temp_1	
1	0	1.862	0	25.5	
11	12.5	1.942	0	25.5	
21	12.5	1.96	0	25.5	
31	12.5	1.984	0.1	25.5	
41	12.5	2.025	0.1	25.5	
51	12.5	2.048	0.1	25.5	
61	12.5	2.044	0.2	25.5	
71	12.5	2.041	0.2	25.5	
81	12.5	2.041	0.2	25.5	
91	12.5	2.042	0.3	25.5	
101	12.5	2.043	0.3	25.5	
111	12.5	2.046	0.3	25.5	
121	12.5	2.048	0.4	25.5	
131	12.5	2.051	0.4	25.5	
141	12.5	2.054	0.4	25.5	
151	12.5	2.057	0.5	25.5	
161	12.5	2.06	0.5	25.5	
171	12.5	2.063	0.5	25.5	
181	12.5	2.066	0.6	25.5	
191	12.5	2.069	0.6	25.5	
201	12.5	2.072	0.6	25.5	
211	12.5	2.075	0.7	25.5	
221	12.5	2.078	0.7	25.5	
231	12.5	2.08	0.7	25.5	
241	12.5	2.083	0.8	25.5	
251	12.5	2.085	0.8	25.5	
261	12.5	2.087	0.9	25.5	
271	12.5	2.089	0.9	25.5	
281	12.5	2.091	0.9	25.5	
291	12.5	2.093	1	25.5	
301	12.5	2.095	1	25.5	
311	12.5	2.096	1	25.5	
321	12.5	2.098	1.1	25.5	
331	12.5	2.099	1.1	25.5	
336.8	12.5	2.1	1.1	25.5	
337.8	0	2.012	1.1	25.5	
338.8	0	2.007	1.1	25.5	
339.8	0	2.005	1.1	25.5	
340.8	0	2.003	1.1	25.5	
341.8	0	2.001	1.1	25.5	
342.8	0	2	1.1	25.5	
343.8	0	1.999	1.1	25.5	
344.8	0	1.998	1.1	25.5	
345.8	0	1.997	1.1	25.5	
346.8	0	1.996	1.1	25.5	
347.8	0	1.995	1.1	25.5	
348.8	0	1.994	1.1	25.5	
349.8	0	1.993	1.1	25.5	
350.8	0	1.993	1.1	25.5	
351.8	0	1.992	1.1	25.5	
352.8	0	1.991	1.1	25.5	
353.8	0	1.991	1.1	25.5	
354.8	0	1.99	1.1	25.5	
355.8	0	1.99	1.1	25.5	
356.8	0	1.989	1.1	25.5	
357.8	0	1.988	1.1	25.5	
358.8	0	1.988	1.1	25.5	
359.8	0	1.988	1.1	25.5	
360.8	0	1.987	1.1	25.5	
361.8	0	1.987	1.1	25.5	
362.8	0	1.986	1.1	25.5	
363.8	0	1.986	1.1	25.5	
364.8	0	1.985	1.1	25.5	
365.8	0	1.985	1.1	25.5	
366.8	0	1.984	1.1	25.5	
367.8	0	1.984	1.1	25.5	
368.8	0	1.983	1.1	25.5	
369.8	0	1.983	1.1	25.5	
370.8	0	1.983	1.1	25.5	
371.8	0	1.983	1.1	25.5	
372.8	0	1.982	1.1	25.5	
373.8	0	1.982	1.1	25.5	
374.8	0	1.981	1.1	25.5	
375.8	0	1.981	1.1	25.5	
376.8	0	1.981	1.1	25.5	
377.8	0	1.98	1.1	25.5	
378.8	0	1.98	1.1	25.5	
379.8	0	1.98	1.1	25.5	
380.8	0	1.979	1.1	25.5	
381.8	0	1.979	1.1	25.5	
382.8	0	1.979	1.1	25.5	
383.8	0	1.979	1.1	25.5	
384.8	0	1.978	1.1	25.5	
385.8	0	1.978	1.1	25.5	
386.8	0	1.977	1.1	25.5	
387.8	0	1.977	1.1	25.5	
388.8	0	1.977	1.1	25.5	
389.8	0	1.977	1.1	25.5	
390.8	0	1.977	1.1	25.5	
391.8	0	1.976	1.1	25.5	
392.8	0	1.976	1.1	25.5	
393.8	0	1.976	1.1	25.5	
394.8	0	1.975	1.1	25.5	
395.8	0	1.975	1.1	25.5	
396.8	0	1.975	1.1	25.5	
397.8	0	1.975	1.1	25.5	
398.8	0	1.974	1.1	25.5	
399.8	0	1.974	1.1	25.5	
400.8	0	1.974	1.1	25.5	
401.8	0	1.974	1.1	25.5	
402.8	0	1.973	1.1	25.5	
403.8	0	1.973	1.1	25.5	
404.8	0	1.973	1.1	25.5	
405.8	0	1.973	1.1	25.5	
406.8	0	1.973	1.1	25.5	
407.8	0	1.973	1.1	25.5	
408.8	0	1.972	1.1	25.5	
409.8	0	1.972	1.1	25.5	
410.8	0	1.972	1.1	25.5	
411.8	0	1.971	1.1	25.5	
412.8	0	1.971	1.1	25.5	
413.8	0	1.971	1.1	25.5	
414.8	0	1.971	1.1	25.5	
415.8	0	1.971	1.1	25.5	
416.8	0	1.971	1.1	25.5	
417.8	0	1.97	1.1	25.5	
418.8	0	1.97	1.1	25.5	
419.8	0	1.97	1.1	25.5	
420.8	0	1.97	1.1	25.5	
421.8	0	1.969	1.1	25.5	
422.8	0	1.969	1.1	25.5	
423.8	0	1.969	1.1	25.5	
424.8	0	1.969	1.1	25.5	
425.8	0	1.969	1.1	25.5	
426.8	0	1.968	1.1	25.5	
427.8	0	1.968	1.1	25.5	
428.8	0	1.969	1.1	25.5	
429.8	0	1.968	1.1	25.5	
430.8	0	1.968	1.1	25.5	
431.8	0	1.968	1.1	25.5	
432.8	0	1.967	1.1	25.5	
433.8	0	1.968	1.1	25.5	
434.8	0	1.967	1.1	25.5	
435.8	0	1.967	1.1	25.5	
436.8	0	1.967	1.1	25.5	
437.8	0	1.967	1.1	25.5	
438.8	0	1.967	1.1	25.5	
439.8	0	1.966	1.1	25.5	
440.8	0	1.966	1.1	25.5	
441.8	0	1.966	1.1	25.5	
442.8	0	1.966	1.1	25.5	
443.8	0	1.966	1.1	25.5	
444.8	0	1.965	1.1	25.5	
445.8	0	1.965	1.1	25.5	
446.8	0	1.965	1.1	25.5	
447.8	0	1.965	1.1	25.5	
448.8	0	1.965	1.1	25.5	
449.8	0	1.965	1.1	25.5	
450.8	0	1.965	1.1	25.5	
451.8	0	1.964	1.1	25.5	
452.8	0	1.964	1.1	25.5	
453.8	0	1.964	1.1	25.5	
454.8	0	1.964	1.1	25.5	
455.8	0	1.964	1.1	25.5	
456.8	0	1.964	1.1	25.5	
457.8	0	1.964	1.1	25.5	
458.8	0	1.964	1.1	25.5	
459.8	0	1.963	1.1	25.5	
460.8	0	1.963	1.1	25.5	
461.8	0	1.963	1.1	25.5	
462.8	0	1.963	1.1	25.5	
463.8	0	1.963	1.1	25.5	
464.8	0	1.962	1.1	25.5	
465.8	0	1.962	1.1	25.5	
466.8	0	1.962	1.1	25.5	
467.8	0	1.962	1.1	25.5	
