Time	Amp	Volt	AH	Temp_1	
0.1	0	1.865	0	25.5	
10.1	12.5	1.93	0	25.5	
20.1	12.5	1.945	0	25.5	
30.1	12.5	1.96	0.1	25.5	
40.1	12.5	1.973	0.1	25.5	
50.1	12.5	1.987	0.1	25.5	
60.1	12.5	2.002	0.2	25.5	
70.1	12.5	2.018	0.2	25.5	
80.1	12.5	2.034	0.2	25.5	
90.1	12.5	2.044	0.3	25.5	
100.1	12.5	2.049	0.3	25.5	
110.1	12.5	2.053	0.3	25.5	
120.1	12.5	2.057	0.4	25.5	
130.1	12.5	2.06	0.4	25.5	
140.1	12.5	2.064	0.4	25.5	
150.1	12.5	2.068	0.5	25.5	
160.1	12.5	2.072	0.5	25.5	
170.1	12.5	2.076	0.5	25.5	
180.1	12.5	2.08	0.6	25.5	
190.1	12.5	2.085	0.6	25.5	
200.1	12.5	2.089	0.6	25.5	
210.1	12.5	2.093	0.7	25.5	
220.1	12.5	2.096	0.7	25.5	
228.8	12.5	2.1	0.7	25.5	
229.8	0	2.009	0.7	25.5	
230.8	0	2.004	0.7	25.5	
231.8	0	2.001	0.7	25.5	
232.8	0	1.999	0.7	25.5	
233.8	0	1.997	0.7	25.5	
234.8	0	1.995	0.7	25.5	
235.8	0	1.994	0.7	25.5	
236.8	0	1.992	0.7	25.5	
237.8	0	1.991	0.7	25.5	
238.8	0	1.99	0.7	25.5	
239.8	0	1.989	0.7	25.5	
240.8	0	1.988	0.7	25.5	
241.8	0	1.987	0.7	25.5	
242.8	0	1.987	0.7	25.5	
243.8	0	1.986	0.7	25.5	
244.8	0	1.985	0.7	25.5	
245.8	0	1.984	0.7	25.5	
246.8	0	1.984	0.7	25.5	
247.8	0	1.983	0.7	25.5	
248.8	0	1.982	0.7	25.5	
249.8	0	1.982	0.7	25.5	
250.8	0	1.982	0.7	25.5	
251.8	0	1.981	0.7	25.5	
252.8	0	1.98	0.7	25.5	
253.8	0	1.98	0.7	25.5	
254.8	0	1.979	0.7	25.5	
255.8	0	1.979	0.7	25.5	
256.8	0	1.978	0.7	25.5	
257.8	0	1.978	0.7	25.5	
258.8	0	1.978	0.7	25.5	
259.8	0	1.977	0.7	25.5	
260.8	0	1.977	0.7	25.5	
261.8	0	1.976	0.7	25.5	
262.8	0	1.976	0.7	25.5	
263.8	0	1.975	0.7	25.5	
264.8	0	1.975	0.7	25.5	
265.8	0	1.975	0.7	25.5	
266.8	0	1.974	0.7	25.5	
267.8	0	1.974	0.7	25.5	
268.8	0	1.974	0.7	25.5	
269.8	0	1.974	0.7	25.5	
270.8	0	1.973	0.7	25.5	
271.8	0	1.973	0.7	25.5	
272.8	0	1.973	0.7	25.5	
273.8	0	1.972	0.7	25.5	
274.8	0	1.972	0.7	25.5	
275.8	0	1.972	0.7	25.5	
276.8	0	1.971	0.7	25.5	
277.8	0	1.971	0.7	25.5	
278.8	0	1.97	0.7	25.5	
279.8	0	1.97	0.7	25.5	
280.8	0	1.97	0.7	25.5	
281.8	0	1.97	0.7	25.5	
282.8	0	1.969	0.7	25.5	
283.8	0	1.969	0.7	25.5	
284.8	0	1.969	0.7	25.5	
285.8	0	1.969	0.7	25.5	
286.8	0	1.968	0.7	25.5	
287.8	0	1.968	0.7	25.5	
288.8	0	1.968	0.7	25.5	
289.8	0	1.968	0.7	25.5	
290.8	0	1.967	0.7	25.5	
291.8	0	1.967	0.7	25.5	
292.8	0	1.967	0.7	25.5	
293.8	0	1.967	0.7	25.5	
294.8	0	1.966	0.7	25.5	
295.8	0	1.966	0.7	25.5	
296.8	0	1.966	0.7	25.5	
297.8	0	1.966	0.7	25.5	
298.8	0	1.965	0.7	25.5	
299.8	0	1.965	0.7	25.5	
300.8	0	1.965	0.7	25.5	
301.8	0	1.965	0.7	25.5	
302.8	0	1.965	0.7	25.5	
303.8	0	1.964	0.7	25.5	
304.8	0	1.964	0.7	25.5	
305.8	0	1.964	0.7	25.5	
306.8	0	1.964	0.7	25.5	
307.8	0	1.964	0.7	25.5	
308.8	0	1.963	0.7	25.5	
309.8	0	1.963	0.7	25.5	
310.8	0	1.963	0.7	25.5	
311.8	0	1.963	0.7	25.5	
312.8	0	1.962	0.7	25.5	
313.8	0	1.962	0.7	25.5	
314.8	0	1.962	0.7	25.5	
315.8	0	1.962	0.7	25.5	
316.8	0	1.962	0.7	25.5	
317.8	0	1.962	0.7	25.5	
318.8	0	1.961	0.7	25.5	
319.8	0	1.961	0.7	25.5	
320.8	0	1.961	0.7	25.5	
321.8	0	1.961	0.7	25.5	
322.8	0	1.961	0.7	25.5	
323.8	0	1.961	0.7	25.5	
324.8	0	1.96	0.7	25.5	
325.8	0	1.96	0.7	25.5	
326.8	0	1.96	0.7	25.5	
327.8	0	1.96	0.7	25.5	
328.8	0	1.959	0.7	25.5	
329.8	0	1.96	0.7	25.5	
330.8	0	1.959	0.7	25.5	
331.8	0	1.959	0.7	25.5	
332.8	0	1.959	0.7	25.5	
333.8	0	1.959	0.7	25.5	
334.8	0	1.959	0.7	25.5	
335.8	0	1.958	0.7	25.5	
336.8	0	1.958	0.7	25.5	
337.8	0	1.958	0.7	25.5	
338.8	0	1.958	0.7	25.5	
339.8	0	1.958	0.7	25.5	
340.8	0	1.958	0.7	25.5	
341.8	0	1.958	0.7	25.5	
342.8	0	1.957	0.7	25.5	
343.8	0	1.957	0.7	25.5	
344.8	0	1.957	0.7	25.5	
345.8	0	1.957	0.7	25.5	
346.8	0	1.957	0.7	25.5	
347.8	0	1.957	0.7	25.5	
348.8	0	1.956	0.7	25.5	
349.8	0	1.956	0.7	25.5	
350.8	0	1.956	0.7	25.5	
351.8	0	1.956	0.7	25.5	
352.8	0	1.956	0.7	25.5	
353.8	0	1.956	0.7	25.5	
354.8	0	1.956	0.7	25.5	
355.8	0	1.956	0.7	25.5	
356.8	0	1.956	0.7	25.5	
