Time	Amp	Volt	AH	Temp_1	
1	0	1.85	0	24.5	
11	12.5	1.935	0	24.5	
21	12.5	1.956	0	24.5	
31	12.5	1.992	0.1	24	
41	12.5	2.04	0.1	24.5	
51	12.5	2.033	0.1	24	
61	12.5	2.026	0.2	24.5	
71	12.5	2.023	0.2	24.5	
81	12.5	2.021	0.2	24.5	
91	12.5	2.022	0.3	24.5	
101	12.5	2.024	0.3	24.5	
111	12.5	2.025	0.3	24.5	
121	12.5	2.027	0.4	24.5	
131	12.5	2.03	0.4	24.5	
141	12.5	2.033	0.4	24.5	
151	12.5	2.035	0.5	24.5	
161	12.5	2.038	0.5	24.5	
171	12.5	2.041	0.5	24.5	
181	12.5	2.044	0.6	24.5	
191	12.5	2.047	0.6	24.5	
201	12.5	2.05	0.6	24.5	
211	12.5	2.053	0.7	24.5	
221	12.5	2.056	0.7	24.5	
231	12.5	2.059	0.7	24.5	
241	12.5	2.062	0.8	24.5	
251	12.5	2.064	0.8	24.5	
261	12.5	2.067	0.9	24.5	
271	12.5	2.069	0.9	24.5	
281	12.5	2.072	0.9	24.5	
291	12.5	2.075	1	24.5	
301	12.5	2.077	1	24.5	
311	12.5	2.079	1	24.5	
321	12.5	2.081	1.1	24.5	
331	12.5	2.083	1.1	24.5	
341	12.5	2.085	1.1	24.5	
351	12.5	2.087	1.2	24.5	
361	12.5	2.089	1.2	24.5	
371	12.5	2.09	1.2	24.5	
381	12.5	2.092	1.3	24.5	
391	12.5	2.093	1.3	24.5	
401	12.5	2.094	1.3	24.5	
411	12.5	2.096	1.4	24.5	
421	12.5	2.097	1.4	24.5	
431	12.5	2.098	1.4	24.5	
441	12.5	2.099	1.5	24.5	
445.8	12.5	2.1	1.5	24.5	
446.8	0	2.019	1.5	24.5	
447.8	0	2.015	1.5	24.5	
448.8	0	2.013	1.5	24.5	
449.8	0	2.011	1.5	24.5	
450.8	0	2.009	1.5	24.5	
451.8	0	2.008	1.5	24.5	
452.8	0	2.006	1.5	24.5	
453.8	0	2.005	1.5	24.5	
454.8	0	2.005	1.5	24.5	
455.8	0	2.003	1.5	24.5	
456.8	0	2.003	1.5	24.5	
457.8	0	2.002	1.5	24.5	
458.8	0	2.001	1.5	24.5	
459.8	0	2.001	1.5	24.5	
460.8	0	2	1.5	24.5	
461.8	0	1.999	1.5	24.5	
462.8	0	1.999	1.5	24.5	
463.8	0	1.998	1.5	24.5	
464.8	0	1.997	1.5	24.5	
465.8	0	1.997	1.5	24.5	
466.8	0	1.996	1.5	24.5	
467.8	0	1.996	1.5	24.5	
468.8	0	1.995	1.5	24.5	
469.8	0	1.995	1.5	24.5	
470.8	0	1.994	1.5	24.5	
471.8	0	1.993	1.5	24.5	
472.8	0	1.993	1.5	24.5	
473.8	0	1.993	1.5	24.5	
474.8	0	1.992	1.5	24.5	
475.8	0	1.992	1.5	24.5	
476.8	0	1.992	1.5	24.5	
477.8	0	1.991	1.5	24.5	
478.8	0	1.99	1.5	24.5	
479.8	0	1.99	1.5	24.5	
480.8	0	1.99	1.5	24.5	
481.8	0	1.989	1.5	24.5	
482.8	0	1.989	1.5	24.5	
483.8	0	1.989	1.5	24.5	
484.8	0	1.988	1.5	24.5	
485.8	0	1.988	1.5	24.5	
486.8	0	1.988	1.5	24.5	
487.8	0	1.987	1.5	24.5	
488.8	0	1.987	1.5	24.5	
489.8	0	1.987	1.5	24.5	
490.8	0	1.986	1.5	24.5	
491.8	0	1.986	1.5	24.5	
492.8	0	1.986	1.5	24.5	
493.8	0	1.985	1.5	24.5	
494.8	0	1.985	1.5	24.5	
495.8	0	1.985	1.5	24.5	
496.8	0	1.985	1.5	24.5	
497.8	0	1.985	1.5	24.5	
498.8	0	1.984	1.5	24.5	
499.8	0	1.983	1.5	24.5	
500.8	0	1.983	1.5	24.5	
501.8	0	1.983	1.5	24.5	
502.8	0	1.983	1.5	24.5	
503.8	0	1.983	1.5	24.5	
504.8	0	1.982	1.5	24.5	
505.8	0	1.982	1.5	24.5	
506.8	0	1.982	1.5	24.5	
507.8	0	1.982	1.5	24.5	
508.8	0	1.981	1.5	24.5	
509.8	0	1.981	1.5	24.5	
510.8	0	1.981	1.5	24.5	
511.8	0	1.98	1.5	24.5	
512.8	0	1.98	1.5	24.5	
513.8	0	1.98	1.5	24.5	
514.8	0	1.98	1.5	24.5	
515.8	0	1.98	1.5	24.5	
516.8	0	1.979	1.5	24.5	
517.8	0	1.979	1.5	24.5	
518.8	0	1.979	1.5	24.5	
519.8	0	1.979	1.5	24.5	
520.8	0	1.978	1.5	24.5	
521.8	0	1.978	1.5	24.5	
522.8	0	1.978	1.5	24.5	
523.8	0	1.977	1.5	24.5	
524.8	0	1.977	1.5	24.5	
525.8	0	1.977	1.5	24.5	
526.8	0	1.977	1.5	24.5	
527.8	0	1.977	1.5	24.5	
528.8	0	1.977	1.5	24.5	
529.8	0	1.976	1.5	24.5	
530.8	0	1.976	1.5	24.5	
531.8	0	1.976	1.5	24.5	
532.8	0	1.975	1.5	24.5	
533.8	0	1.976	1.5	24.5	
534.8	0	1.976	1.5	24.5	
535.8	0	1.975	1.5	24.5	
536.8	0	1.975	1.5	24.5	
537.8	0	1.975	1.5	24.5	
538.8	0	1.975	1.5	24.5	
539.8	0	1.975	1.5	24.5	
540.8	0	1.974	1.5	24.5	
541.8	0	1.974	1.5	24.5	
542.8	0	1.974	1.5	24.5	
543.8	0	1.974	1.5	24.5	
544.8	0	1.974	1.5	24.5	
545.8	0	1.973	1.5	24.5	
546.8	0	1.973	1.5	24.5	
547.8	0	1.973	1.5	24.5	
548.8	0	1.973	1.5	24.5	
549.8	0	1.972	1.5	24.5	
550.8	0	1.972	1.5	24.5	
551.8	0	1.972	1.5	24.5	
552.8	0	1.972	1.5	24.5	
553.8	0	1.972	1.5	24.5	
554.8	0	1.972	1.5	24.5	
555.8	0	1.971	1.5	24.5	
556.8	0	1.971	1.5	24.5	
557.8	0	1.971	1.5	24.5	
558.8	0	1.971	1.5	24.5	
559.8	0	1.971	1.5	24.5	
560.8	0	1.971	1.5	24.5	
561.8	0	1.971	1.5	24.5	
562.8	0	1.971	1.5	24.5	
563.8	0	1.97	1.5	24.5	
564.8	0	1.97	1.5	24.5	
565.8	0	1.97	1.5	24.5	
566.8	0	1.97	1.5	24.5	
567.8	0	1.97	1.5	24.5	
568.8	0	1.969	1.5	24.5	
569.8	0	1.969	1.5	24.5	
570.8	0	1.969	1.5	24.5	
571.8	0	1.969	1.5	24.5	
572.8	0	1.969	1.5	24.5	
573.8	0	1.969	1.5	24.5	
574.8	0	1.969	1.5	24.5	
575.8	0	1.968	1.5	24.5	
576.8	0	1.968	1.5	24.5	
577.8	0	1.968	1.5	24.5	
578.8	0	1.968	1.5	24.5	
579.8	0	1.968	1.5	24.5	
580.8	0	1.968	1.5	24.5	
581.8	0	1.968	1.5	24.5	
582.8	0	1.967	1.5	24.5	
583.8	0	1.967	1.5	24.5	
584.8	0	1.967	1.5	24.5	
585.8	0	1.967	1.5	24.5	
586.8	0	1.967	1.5	24.5	
587.8	0	1.967	1.5	24.5	
588.8	0	1.966	1.5	24.5	
589.8	0	1.966	1.5	24.5	
590.8	0	1.966	1.5	24.5	
591.8	0	1.966	1.5	24.5	
592.8	0	1.966	1.5	24.5	
593.8	0	1.966	1.5	24.5	
594.8	0	1.966	1.5	24.5	
595.8	0	1.965	1.5	24.5	
596.8	0	1.966	1.5	24.5	
597.8	0	1.965	1.5	24.5	
598.8	0	1.965	1.5	24.5	
599.8	0	1.965	1.5	24.5	
600.8	0	1.965	1.5	24.5	
601.8	0	1.965	1.5	24.5	
602.8	0	1.965	1.5	24.5	
603.8	0	1.965	1.5	24.5	
604.8	0	1.964	1.5	24.5	
605.8	0	1.964	1.5	24.5	
606.8	0	1.964	1.5	24.5	
607.8	0	1.964	1.5	24.5	
608.8	0	1.964	1.5	24.5	
609.8	0	1.963	1.5	24.5	
610.8	0	1.964	1.5	24.5	
611.8	0	1.964	1.5	24.5	
612.8	0	1.963	1.5	24.5	
613.8	0	1.963	1.5	24.5	
614.8	0	1.963	1.5	24.5	
615.8	0	1.963	1.5	24.5	
616.8	0	1.963	1.5	24.5	
617.8	0	1.963	1.5	24.5	
618.8	0	1.963	1.5	24.5	
619.8	0	1.963	1.5	24.5	
620.8	0	1.963	1.5	24.5	
621.8	0	1.962	1.5	24.5	
622.8	0	1.962	1.5	24.5	
623.8	0	1.962	1.5	24.5	
624.8	0	1.962	1.5	24.5	
625.8	0	1.962	1.5	24.5	
626.8	0	1.962	1.5	24.5	
627.8	0	1.962	1.5	24.5	
628.8	0	1.961	1.5	24.5	
629.8	0	1.961	1.5	24.5	
630.8	0	1.961	1.5	24.5	
631.8	0	1.961	1.5	24.5	
632.8	0	1.961	1.5	24.5	
633.8	0	1.961	1.5	24.5	
634.8	0	1.961	1.5	24.5	
635.8	0	1.961	1.5	24.5	
636.8	0	1.961	1.5	24.5	
637.8	0	1.961	1.5	24.5	
638.8	0	1.96	1.5	24.5	
639.8	0	1.96	1.5	24.5	
640.8	0	1.96	1.5	24.5	
641.8	0	1.96	1.5	24.5	
642.8	0	1.96	1.5	24.5	
643.8	0	1.96	1.5	24.5	
644.8	0	1.96	1.5	24.5	
645.8	0	1.96	1.5	24.5	
646.8	0	1.96	1.5	24.5	
647.8	0	1.96	1.5	24.5	
648.8	0	1.96	1.5	24.5	
649.8	0	1.959	1.5	24.5	
650.8	0	1.959	1.5	24.5	
651.8	0	1.959	1.5	24.5	
652.8	0	1.959	1.5	24.5	
653.8	0	1.959	1.5	24.5	
654.8	0	1.959	1.5	24.5	
655.8	0	1.959	1.5	24.5	
656.8	0	1.959	1.5	24.5	
657.8	0	1.958	1.5	24.5	
658.8	0	1.958	1.5	24.5	
659.8	0	1.958	1.5	24.5	
660.8	0	1.958	1.5	24.5	
661.8	0	1.958	1.5	24.5	
662.8	0	1.958	1.5	24.5	
663.8	0	1.958	1.5	24.5	
664.8	0	1.958	1.5	24.5	
665.8	0	1.958	1.5	24.5	
666.8	0	1.957	1.5	24.5	
667.8	0	1.957	1.5	24.5	
668.8	0	1.957	1.5	24.5	
669.8	0	1.957	1.5	24.5	
670.8	0	1.957	1.5	24.5	
671.8	0	1.957	1.5	24.5	
672.8	0	1.957	1.5	24.5	
673.8	0	1.957	1.5	24.5	
674.8	0	1.957	1.5	24.5	
675.8	0	1.957	1.5	24.5	
676.8	0	1.957	1.5	24.5	
677.8	0	1.956	1.5	24.5	
678.8	0	1.956	1.5	24.5	
679.8	0	1.956	1.5	24.5	
680.8	0	1.956	1.5	24.5	
681.8	0	1.956	1.5	24.5	
682.8	0	1.956	1.5	24.5	
683.8	0	1.956	1.5	24.5	
684.8	0	1.956	1.5	24.5	
685.8	0	1.956	1.5	24.5	
686.8	0	1.956	1.5	24.5	
687.8	0	1.956	1.5	24.5	
688.8	0	1.956	1.5	24.5	
689.8	0	1.955	1.5	24.5	
690.8	0	1.956	1.5	24.5	
691.8	0	1.955	1.5	24.5	
692.8	0	1.955	1.5	24.5	
693.8	0	1.955	1.5	24.5	
