fc_spd_RPM	fc_trq_Nm	fc_fuel_g_s	fc_hc_g_s	fc_co_g_s	fc_nox_g_s	fc_pm_g_s
1200	6.8	0.177279	1.979757	5.029078	1.77071	0.079996
1200	27.1	0.307903	1.663916	5.738515	2.947876	0.299283
1200	81.3	0.689677	0.854506	4.355	26.504648	0.82207
1200	122.0	0.992	0.592088	4.691954	38.680065	0.936454
1800	13.6	0.345227	4.300644	16.097866	2.292693	0.18385
1800	67.8	0.880104	1.745568	9.626891	13.892811	0.792162
1800	122.0	1.441942	1.081428	6.193053	36.680798	0.953433
1800	183.0	2.12313	1.139359	7.028223	59.810841	0.686949
2400	13.6	0.520166	8.522819	31.899139	2.852597	0.196851
2400	81.3	1.433504	3.782523	25.187498	19.165495	1.782988
2400	135.6	2.178865	2.382715	16.588224	42.727169	1.837004
2400	183.0	2.847987	2.297454	12.451822	73.19191	1.295366
3000	13.6	0.803	19.819628	49.801498	5.733795	0.299795
3000	81.3	1.847562	4.859881	35.137375	28.15193	3.240754
3000	135.6	2.85301	3.41561	27.602249	52.915756	4.968983
3000	183.0	3.750386	3.242514	20.91502	78.324875	4.677792
3600	13.6	1.071	22.527174	66.719276	10.009048	0.340495
3600	54.2	1.770265	10.106808	71.39122	29.657497	2.017389
3600	108.5	2.940529	3.845411	14.458937	68.09687	4.148938
3600	149.1	3.859	5.545345	17.879894	72.217911	7.957189
4200	20.3	1.53184	17.351126	115.47924	26.121649	1.059542
4200	47.5	2.090247	5.708557	29.701124	44.772171	2.287205
4200	88.1	3.120573	4.686774	15.091122	80.958282	4.350677
4200	128.8	4.274705	7.938962	25.999075	94.926041	11.512116
